AKT-V-000001	Бал был очень многолюден.
AKT-V-000194	Недоброжелательство её к племяннице, которое, несмотря на свои старания, она часто не могла скрыть, Руневский приписал тому, что собственная её дочь, Софья Карповна, не имела ни Дашиной красоты, ни молодости.
AKT-V-000195	Софья Карповна, казалось, сама это чувствовала и старалась всячески отомстить своей сопернице.
AKT-V-000196	Она была так хитра, что никогда открыто её не злословила, но пользовалась всеми случаями, когда могла неприметно послать об ней невыгодное мнение;
AKT-V-000197	между тем Софья Карповна притворялась её искреннею приятельницею и с жаром извиняла её мнимые недостатки.
AKT-V-000198	Руневский заметил с самого начала, что ей очень хочется его пленить, и сколько это ни было ему неприятно, но он почёл за нужное не показывать, до какой степени она ему противна, и старался обходиться с нею как можно учтивее.
AKT-V-000199	Общество, посещавшее дом Зориной, состояло из людей, которых не встречали в высших кругах и из коих большая часть, по примеру хозяйки дома, проводила время в сплетнях и злословии.
AKT-V-000200	Среди всех этих лиц Даша являлась как светлая птичка, залетевшая из цветущей стороны в тёмный и неопрятный курятник.
AKT-V-000201	Но, хотя она не могла не чувствовать пред ними своего превосходства, ей и в мысль не приходило чуждаться или пренебрегать людьми, коих привычки и воспитание так мало согласовались с тем родом жизни, для которого она была рождена.
AKT-V-000202	Руневский удивлялся её терпению, когда из снисхождения к старикам она слушала их длинные рассказы, не занимающие её нисколько;
AKT-V-000203	он удивлялся её постоянной приветливости к этим барыням и барышням, из коих большая часть не могла её терпеть.
AKT-V-000204	Не раз также он был свидетелем, как она, со всею приличною скромности, иногда одним только взглядом, удерживала молодых франтов в границах должной почтительности, когда в разговорах с нею им хотелось забыться.
AKT-V-000205	Мало-помалу Даша привыкла к Руневскому.
AKT-V-000206	Она уже не старалась скрыть своей радости при его посещениях;
AKT-V-000207	казалось, внутреннее чувство говорило ей, что она может положиться на него, как на верного друга.
AKT-V-000208	Доверенность её с каждым днём возрастала;
AKT-V-000209	она уже поверяла ему иногда свои маленькие печали и наконец однажды призналась, как она несчастлива в доме своей тётки.
AKT-V-000210	— Я знаю,
AKT-V-000211	— говорила она,
AKT-V-000212	— что они меня не любят и что я им в тягость;
AKT-V-000213	вы не поверите, как это меня мучит.
AKT-V-000214	Хотя я с другими смеюсь и бываю весела, но зато как часто, наедине, я горько плачу!
AKT-V-000215	— А ваша бабушка?
AKT-V-000216	— спросил Руневский.
AKT-V-000217	— О, бабушка совсем другое дело!
AKT-V-000218	Она меня любит, всегда меня ласкает и не иначе со мной обходится, когда мы одни, как и при чужих.
AKT-V-000219	Кроме бабушки и ещё старой маменькиной гувернантки, я думаю, нет никого, кто бы меня любил!
AKT-V-000220	Эту гувернантку зовут Клеопатрой Платоновной;
AKT-V-000221	она меня знала ещё ребёнком, и только с ней я и могу разговаривать про маменьку.
AKT-V-000222	Я так рада, что увижу её у бабушки на даче;
AKT-V-000223	не правда ли, вы также туда приедете?
AKT-V-000224	— Непременно приеду, если это вам не будет неприятно.
AKT-V-000225	— О, напротив!
AKT-V-000226	Не знаю почему, хотя я с вами знакома только несколько дней, но мне кажется, будто бы я вас знаю уж так давно, так давно, что я и не припомню, когда мы в первый раз виделись.
AKT-V-000227	Может быть, это оттого, что вы мне напоминаете двоюродного брата, которого я люблю как родного и который теперь на Кавказе.
AKT-V-000228	Однажды Руневский застал Дашу с заплаканными глазами.
AKT-V-000229	Боясь её ещё более расстроить, он притворился, будто ничего не примечает, и начал разговаривать об обыкновенных предметах.
AKT-V-000230	Даша хотела отвечать, но слёзы брызнули из её глаз, она не могла выговорить ни слова, закрыла лицо платком и выбежала из комнаты.
AKT-V-000231	Чрез несколько времени вошла Софья Карповна и стала извинять Дашу в странности её поступка.
AKT-V-000232	— Мне самой стыдно за сестрицу,
AKT-V-000233	— сказала она,
AKT-V-000234	— но это такой ребёнок, что малейшая безделица может привесть её в слёзы.
AKT-V-000235	Сегодня ей очень хотелось ехать в театр, но, к несчастию, никак не могли достать ложи, и это её так расстроило, что она ещё долго не утешится.
AKT-V-000236	Впрочем, ежели бы вы знали все её хорошие качества, вы бы ей охотно простили эти маленькие слабости.
AKT-V-000237	Я думаю, нет на свете существа добрее её.
AKT-V-000238	Кого она любит, тот хоть сделай преступление, она найдёт средство его извинить и уверить всех, что он прав.
AKT-V-000239	Зато уж об ком она дурного мнения, того она не оставит в покое и всем расскажет, что она об нём думает.
AKT-V-000240	Таким образом, Софья Карповна, расхваливал бедную Дашу, успела намекнуть Руневскому, что она малодушна, пристрастна и несправедлива.
AKT-V-000241	Но слова её не сделали на него никакого впечатления.
AKT-V-000242	Он в них видел одну только зависть и вскоре удостоверился, что не ошибся в своём предположении.
AKT-V-000243	— Вам, вероятно, показалось странным,
AKT-V-000244	— сказала ему на другой день Даша,
AKT-V-000245	— что и от вас ушла, когда вы со мной говорили;
AKT-V-000246	но, право, я не могла сделать иначе.
AKT-V-000247	Я нечаянно нашла письмо от моей бедной маменьки.
AKT-V-000248	Теперь уж девять лет, как она скончалась;
AKT-V-000249	я была ещё ребёнком, когда его получила, и оно мне так живо напомнило время моего детства, что я не могла удержаться от слёз, когда при вас об нем подумала.
AKT-V-000250	Ах, как я тогда была счастлива!
AKT-V-000251	Как я радовалась, когда получила это письмо!
AKT-V-000252	Мы тогда были в деревне, маменька писала из Москвы и обещалась скоро приехать.
AKT-V-000253	Она в самом деле приехала на другой день и застала меня в саду.
AKT-V-000254	Я помню, как я вырвалась из рук нянюшки и бросилась к маменьке на шею.
AKT-V-000255	Даша остановилась и несколько времени молчала, как бы забывшись.
AKT-V-000256	— Вскоре потом,
AKT-V-000257	— продолжала она,
AKT-V-000258	— маменька вдруг, без всякой причины, сделалась больна, стала худеть и чахнуть и через неделю скончалась.
AKT-V-000259	Добрая бабушка до самой последней минуты от неё не отходила.
AKT-V-000260	Она по целым ночам сидела у её кровати и за ней ухаживала.
AKT-V-000261	Я помню, как в последний день её платье было покрыто маменькиной кровью.
AKT-V-000262	Это на меня сделало ужасное впечатление, но мне сказали, что маменька умерла от чахотки и кровохарканья.
AKT-V-000263	Вскоре я переехала к тётушке, и тогда всё переменилось!
AKT-V-000264	Руневский слушал Дашу с большим участием.
AKT-V-000265	Он старался превозмочь своё смущение;
AKT-V-000266	но слёзы показались на его глазах, и, не будучи в состоянии удержать долее порыва своего сердца, он схватил её руку и сжал её крепко.
AKT-V-000267	— Позвольте мне быть вашим другом,
AKT-V-000268	— вскричал он,
AKT-V-000269	— положитесь на меня!
AKT-V-000270	Я не могу вам заменить той, которую вы потеряли, но, клянусь честью, буду вам верным защитником, доколе останусь жив!
AKT-V-000271	Он прижал её руку к горячим устам, она приклонила голову к его плечу и тихонько заплакала.
AKT-V-000272	Чьи-то шаги послышались в ближней комнате.
AKT-V-000273	Даша легонько оттолкнула Руневского и сказала ему тихим, но твёрдым голосом:
AKT-V-000274	— Оставьте меня;
AKT-V-000275	я, может быть, дурно сделала, что предалась своему чувству, но я не могу себе представить, что вы чужой;
AKT-V-000276	внутренний голос мне говорит, что вы достойны моей доверенности.
AKT-V-000277	— Даша, любезная Даша!
AKT-V-000278	— Вскричал Руневский,
AKT-V-000279	— ещё одно слово!
AKT-V-000280	Скажите мне, что вы меня любите, и я буду самый счастливый смертный!
AKT-V-000281	— Можете ли вы в этом сомневаться?
AKT-V-000282	— отвечала она спокойно и вышла из комнаты, оставя его поражённым этим ответом и в недоумении, поняла ли она точный смысл его слов?
AKT-V-000283	В тридцати вёрстах от Москвы находится село Берёзовая Роща.
AKT-V-000284	Ещё издали виден большой каменный дом, выстроенный по-старинному и осенённый высокими липами, главным украшением пространного сада, который расположен на покатом пригорке, в регулярном французском вкусе.
AKT-V-000285	Никто, видя этот дом и не зная его истории, не мог бы подумать, что он принадлежит той самой бригадирше, которая рассказывает про походы Игнатия Савельича и нюхает русский табак с донником.
AKT-V-000286	Здание было вместе легко и величественно;
AKT-V-000287	можно было с первого взгляда угадать, что его строил архитектор италиянский, ибо оно во многом напоминало прекрасные виллы в Ломбардии или в окрестностях Рима.
AKT-V-000288	В России, к сожалению, мало таких домов;
AKT-V-000289	но они вообще отличаются своею красотою как настоящие образцы хорошего вкуса прошедшего века, а дом Сугробиной можно бесспорно назвать первым в этом роде.
AKT-V-000290	В один тёплый июльский вечер окна казались освещёнными ярче обыкновенного, и даже, что редко случалось, в третьем этаже видны были блуждающие огни, переходящие из одной комнаты в другую.
AKT-V-000291	В это время на дороге показалась коляска, которая, поравнявшись с дачею, въехала через длинную аллею на господский двор и остановилась перед подъездом дома.
AKT-V-000292	К ней подбежал казачок в изорванном платье и помог выйти Руневскому.
AKT-V-000293	Когда Руневский вошёл в комнату, он увидел множество гостей, из которых иные играли в вист, а другие разговаривали между собою.
AKT-V-000294	К числу первых принадлежала сама хозяйка, и против неё сидел Семён Семёнович Теляев.
AKT-V-000295	В одном углу комнаты накрыт был стол с огромным самоваром, и за ним заседала пожилая дама, та самая Клеопатра Платоновна, о которой Руневскому говорила Даша.
AKT-V-000296	Она казалась одних лет с бригадиршей, но бледное лицо её выражало глубокую горесть, как будто бы её тяготила страшная тайна.
AKT-V-000297	При входе Руневского бригадирша ласково его приветствовала.
AKT-V-000298	— Спасибо тебе, мой батюшка,
AKT-V-000299	— сказала она,
AKT-V-000300	— что ты не забыл меня, старуху.
AKT-V-000301	А я уж начинала думать, что ты совсем не приедешь;
AKT-V-000302	садись-ка возле нас, да выпей-ка чайку, да расскажи нам, что у нас нового в городе?
AKT-V-000303	Семён Семёнович сделал Руневскому очень оригинальный поклон, коего характер невозможно выразить словами, и, вынув из кармана свою табакерку, сказал ему сладким голосом:
AKT-V-000304	— Не прикажете ли?
AKT-V-000305	Настоящий русский, с донником.
AKT-V-000306	Я французского не употребляю;
AKT-V-000307	этот гораздо здоровее, да и к тому ж… в рассуждении насморка…Громкий удар языком окончил эту фразу, и щёлканье старого чиновника обратилось в неопределённое сосанье.
AKT-V-000308	— Покорно благодарю,
AKT-V-000309	— отвечал Руневский,
AKT-V-000310	— я табаку не нюхаю.
AKT-V-000311	Но бригадирша бросила недовольный взгляд на Теляева и, обратившись к соседке, сказала ей вполголоса:
AKT-V-000312	— Что за неприятная привычка у Семена Семёновича вечно щёлкать.
AKT-V-000313	Уж я бы на его месте вставила себе фальшивый зуб да говорила бы, как другие.
AKT-V-000314	Руневский очень рассеянно слушал и бригадиршу, и Семена Семёновича.
AKT-V-000315	Взоры его искали Даши, и он увидел её в кругу других девушек возле чайного стола.
AKT-V-000316	Она приняла его с обыкновенной своей приветливостью и со спокойствием, которое могло бы показаться равнодушием.
AKT-V-000317	Что касается до Руневского, ему было трудно скрыть своё смущение, и неловкость, с которой он отвечал на её слова, можно было принять за замешательство.
